"Timestamp","Username","First author's surname","Year of publication","Which journal is the paper in?","Journal volume identifier","Issue number","Page range or article number","Is this paper about an agent-based model?","Is this paper about a model in the social sciences?","Does the model simulate an empirical, contemporary case study?","Does the paper provide any information about the spatial extent of the model?","What is the spatial extent simulated in the model?","What is the name given by the authors in the paper to the area simulated?","How is space represented in the model?","Does the paper say how many pixels, patches, cells and/or polygons?","Number of pixels, patches or cells","Number of polygons, lines, points or 'features'","How many time steps are in the model?","What sort of time scale do the time steps represent?","Which social entities are represented as agents in the model?","How many agents are simulated in the model?","Units of the number of agents","How many of the above 'units' are there in the real case study?","How many runs of the model do the authors report having done?","Do the authors provide any information about the computing equipment they used?","What computing equipment was used?","Does the paper discuss any practical limitations on their work that might be fixed by access to more computing power?","When describing or discussing the model, which of the following phrases (or similar) were used to suggest pragmatic constraints on the work?","When discussing the model's limitations or any future work, which of the following are mentioned in a way that suggests a superior study would have done them if feasible?","Interesting?"
"2024/11/07 3:55:14 pm CET","Gary","Bohensky","2014","Journal of Artificial Societies and Social Simulation","17","1","2","Yes","Yes","Yes","Yes","More than one Nation, but not a whole Continent","South Africa, Lesotho and Swaziland","Raster (cells, pixels, patches)","No","","","100","Years","Organizations (businesses, NGOs, etc.);Municipal/Local Governments","","","","40","No","","Yes","for the sake of simplicity","more complicated decision making algorithms","No"
"2024/11/07 4:00:45 pm CET","Alison","Zhang","2014","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","City","Beijing","Raster (cells, pixels, patches)","","","","150","Months","Humans","2000","","","","No","","No","","","No"
"2024/11/07 4:09:04 pm CET","Gary","Ge","2016","Journal of Artificial Societies and Social Simulation","19","3","11","Yes","Yes","Yes","Yes","County or Municipality","Aberdeen City and Shire, UK, 2000km^2","Raster (cells, pixels, patches)","Yes","200000","","1854129","Seconds","Human-Operated Machines","1000","Human-Operated Machines","100000","1000","No","","Yes","for the sake of simplicity;to save memory","more environmental dynamics;including other social processes;more / other scenarios","Maybe"
"2024/11/07 4:17:59 pm CET","Gary","Holm","2016","Journal of Artificial Societies and Social Simulation","19","3","3","Yes","Yes","Yes","Yes","Nation","Wood market in Switzerland","","","","","240","Months","Organizations (businesses, NGOs, etc.)","80","Organizations","","100","No","","No","","more complicated decision making algorithms;more data","No"
"2024/11/07 4:33:03 pm CET","Gary","Brousmiche","2016","Journal of Artificial Societies and Social Simulation","19","4","2","Yes","Yes","Yes","Yes","Multiple Counties or Region","Kapisa, Afghanistan","Not a spatially explicit model","N/A","","","554","Days","Humans","500","Humans","","7500","Yes","Organization's computing cluster","No","","more complicated decision making algorithms;including other social processes;more data","Yes"
"2024/11/07 4:57:44 pm CET","Gary","Dumont","2018","Journal of Artificial Societies and Social Simulation","21","4","3","Yes","Yes","Yes","Yes","City","South East of Sydney, Australia","Paper does not say","","","","10","Years","Humans","","","","1320","Yes","Personal computer (desktop/laptop)","Yes","for the sake of simplicity;to save computing time","more data","Yes"
"2024/11/07 5:49:12 pm CET","Alison","Putra","2015","Journal of Artificial Societies and Social Simulation","18","2","","Yes","Yes","Yes","Yes","County or Municipality","Monmouth County - US","Raster (cells, pixels, patches)","Yes","3025","","20","Years","Households","","","","","No","","No","","","No"
"2024/11/07 7:00:15 pm CET","Gary","Xiong","2018","Journal of Artificial Societies and Social Simulation","21","4","6","Yes","Yes","Yes","Yes","Village","10 villages near Wuhan, China","Not a spatially explicit model","N/A","","","7","Years","Households","","","","","No","","No","","","Maybe"
"2024/11/07 7:19:43 pm CET","Gary","Hailegiorgis","2018","Journal of Artificial Societies and Social Simulation","21","4","4","Yes","Yes","Yes","Yes","Multiple Counties or Region","South Omo Zone, Ethiopia 2.1MHa","Raster (cells, pixels, patches)","Yes","3296349","","18250","Days","","50000","Households","125009","120","No","","","","more complicated decision making algorithms;including other social processes;more data;Validation","Yes"
"2024/11/07 7:30:33 pm CET","Gary","Shaaban","2019","Journal of Artificial Societies and Social Simulation","22","1","4","Yes","Yes","Yes","Yes","Nation","Egypt","Raster (cells, pixels, patches)","No","","","85","Years","Humans","","","","6","No","","No","","more complicated decision making algorithms;more data","No"
"2024/11/08 11:35:39 am CET","Gary","Urquhart","2019","Journal of Artificial Societies and Social Simulation","22","2","10","Yes","Yes","Yes","Yes","City","Edinburgh, UK","Paper does not say","N/A","","","30","Days","Humans","1494","","1494","","No","","No","","","No"
"2024/11/08 12:09:13 pm CET","Alison","Zellner","2014","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","","No"
"2024/11/08 12:14:57 pm CET","Alison","Bloomquist","2015","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","","No"
"2024/11/08 12:23:18 pm CET","Alison","Barthelemy","2015","Journal of Artificial Societies and Social Simulation","","","","No","Yes","Yes","Yes","City","Belgium","","","","","","","","10300000","","","","Yes","Organization's computing cluster","","","","Yes"
"2024/11/08 12:46:48 pm CET","Alison","Friege","2016","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","Nation","Germany","Raster (cells, pixels, patches)","No","","","120","Months","","","Households","","100","No","","No","","","No"
"2024/11/08 2:46:34 pm CET","Alison","Santos","2016","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","","No"
"2024/11/08 2:50:57 pm CET","Gary","Civico","2019","Journal of Artificial Societies and Social Simulation","22","4","3","Yes","Yes","Yes","No","","","Not a spatially explicit model","N/A","","","1000","Years","Humans","","","","79860","No","","Yes","lack of data","more complicated decision making algorithms;including other social processes","No"
"2024/11/08 2:52:32 pm CET","Alison","Dubbelboer","2017","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","Village","London Borough of Camden","Vector (polygons, lines, points)","No","","","100","Years","Households","","","","300","No","","","lack of data","more data","No"
"2024/11/08 3:20:50 pm CET","Alison","Gotts","2017","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","City","Aberdeen","Not a spatially explicit model","","","","","Seasons / Quarters","Households","197","Households","","55296","No","","No","","","Maybe"
"2024/11/08 5:44:46 pm CET","Gary","Xu","2020","Journal of Artificial Societies and Social Simulation","23","2","4","Yes","Yes","Yes","Yes","Multiple Counties or Region","Various cantons in France","Not a spatially explicit model","N/A","","","30","Years","Organizations (businesses, NGOs, etc.)","100","Organizations","113","2700","No","","No","","including other social processes;more data","No"
"2024/11/08 5:53:18 pm CET","Gary","Yun","2020","Journal of Artificial Societies and Social Simulation","23","4","5","Yes","Yes","Yes","Yes","Nation","Korea","Not a spatially explicit model","N/A","","","36","Months","Households;Organizations (businesses, NGOs, etc.)","2000","Households","20000000","3000","No","","No","","including other social processes","No"
"2024/11/08 5:58:48 pm CET","Alison","Hunter","2018","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","Village","Tramore and Schull (Ireland)","Raster (cells, pixels, patches)","Yes","400","","","","","","Households","","100","No","","No","lack of data","more data","Yes"
"2024/11/08 6:02:25 pm CET","Gary","Nöldeke","2020","Journal of Artificial Societies and Social Simulation","23","4","9","Yes","Yes","Yes","Yes","Village","Mantapala, Luapula Province, Zambia","Not a spatially explicit model","","","","52","Weeks","Households","264","Households","264","90","No","","No","","more complicated decision making algorithms;more environmental dynamics;including other social processes","No"
"2024/11/08 6:17:34 pm CET","Gary","Assefa","2021","Journal of Artificial Societies and Social Simulation","24","4","8","Yes","Yes","Yes","Yes","County or Municipality","Boset District, Oromia State, Ethiopia 137849ha","Raster (cells, pixels, patches)","No","","","25","Years","Organizations (businesses, NGOs, etc.);Municipal/Local Governments","","","","1200","No","","No","","more environmental dynamics;including other social processes;more / other scenarios","No"
"2024/11/08 6:28:10 pm CET","Gary","Sedigh","2021","Journal of Artificial Societies and Social Simulation","25","1","1","Yes","Yes","No","No","","","Not a spatially explicit model","N/A","","","300","Years","Humans;Organizations (businesses, NGOs, etc.)","1000","Humans","","90","No","","No","","more runs of the model;more complicated decision making algorithms;including other social processes","No"
"2024/11/08 6:54:37 pm CET","Gary","Pagani","2022","Journal of Artificial Societies and Social Simulation","25","2","4","Yes","Yes","Yes","No","","","Not a spatially explicit model","","","","360","Months","Humans;Households","878","Humans","","800","No","","No","","including other social processes;more data;Different sensitivity analysis","No"
"2024/11/08 7:13:18 pm CET","Gary","Gibson","2022","Journal of Artificial Societies and Social Simulation","25","2","3","Yes","Yes","Yes","Yes","Nation","UK","Not a spatially explicit model","N/A","","","31","Years","Humans","1000","Humans","","","No","","Yes","Availability of library with better network functionality","including other social processes;Other implementation options","Yes"
"2024/11/08 7:25:15 pm CET","Gary","Etienne","2003","Journal of Artificial Societies and Social Simulation","6","2","2","Yes","Yes","Yes","Yes","Multiple Counties or Region","Causse Méjan, France","Raster (cells, pixels, patches)","Yes","5726","","60","Years","Organizations (businesses, NGOs, etc.)","40","Organizations","","8","No","","No","","","No"
"2024/11/08 7:30:32 pm CET","Alison","Shaaban","2019","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","Nation","Egypt","Raster (cells, pixels, patches)","No","","","85","Years","Humans","","","","","No","","No","","more data","No"
"2024/11/08 7:40:37 pm CET","Alison","Bao","2019","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","No","","","","","","","","Months","Humans","200","","","","No","","No","","more data","No"
"2024/11/08 7:54:25 pm CET","Alison","Urquhart","2019","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","City","Edinburgh","Not a spatially explicit model","No","","","","","Humans","","","","","No","","No","","","No"
"2024/11/14 11:09:19 am CET","Ric","Gibson","2021","Journal of Artificial Societies and Social Simulation","24","3","9","Yes","Yes","Yes","Yes","Nation","uk","Not a spatially explicit model","","","","31","Years","Humans","1000","Humans","","7644","No","","No","","","No"
"2024/11/14 11:21:42 am CET","Ric","Assefa","2021","Journal of Artificial Societies and Social Simulation","24","4","8","Yes","Yes","Yes","Yes","County or Municipality","Boset District, Ethiopia","Raster (cells, pixels, patches)","Yes","551396","","25","Years","Humans;Organizations (businesses, NGOs, etc.)","","Humans","174659","100","No","","No","","","No"
"2024/11/14 11:27:12 am CET","Ric","Pagani","2022","Journal of Artificial Societies and Social Simulation","25","2","4","Yes","Yes","Yes","Yes","Nation","Switzerland.","Raster (cells, pixels, patches)","No","","","360","Months","Humans;Households","1000","Humans","","100","No","","","","more data","No"
"2024/11/14 11:41:51 am CET","Ric","Gibson","2022","Journal of Artificial Societies and Social Simulation","25","2","3","Yes","Yes","Yes","Yes","Nation","uk ","Not a spatially explicit model","No","","","30","Years","Humans","1000","Humans","4486","600","No","","No","","more data","No"
"2024/11/15 10:07:44 am CET","Alison","Urquhart","2019","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","City","Edinburgh","Paper does not say","N/A","","","","","Humans","","","","","No","","No","","","Yes"
"2024/11/15 10:12:57 am CET","Alison","Kant","2020","Journal of Artificial Societies and Social Simulation","","","","Yes","No","","No","","","","","","","","","","","","","","","","","","",""
"2024/11/15 10:19:44 am CET","Alison","Yun","2020","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","Nation","Korea","Paper does not say","","","","36","Months","Households","2000","Households","","","No","","No","","","Maybe"
"2024/11/15 11:44:13 am CET","Alison","Termos","2021","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","City","Lebanon","Raster (cells, pixels, patches)","","","","270","Months","Humans","","Humans","","100","No","","No","","","No"
"2024/11/15 11:52:50 am CET","Alison","Gibson","2021","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","Nation","UK","","","","","29","Years","Humans","1000","Humans","","","No","","No","","","No"
"2024/11/15 11:59:56 am CET","Alison","Manh Vu","2023","Journal of Artificial Societies and Social Simulation","","","","Yes","No","Yes","Yes","City","New York","","","","","","","","","","","","","","","","",""
"2024/11/15 12:10:20 pm CET","Alison","Bhavnani","2003","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","No","Yes","Nation","Italy","","","","","","","","","","","","","","","","",""
"2024/11/15 12:18:34 pm CET","Alison","Lee","2014","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","Nation","Korea","Not a spatially explicit model","No","","","25","Months","Humans","","","","","No","","No","lack of data","more data","No"
"2024/11/16 12:36:46 pm CET","Ric","Koll","2023","Journal of Artificial Societies and Social Simulation","26","1","7","Yes","Yes","Yes","Yes","Town","Coos Bay, OR","Not a spatially explicit model","No","","","100","","Humans","10000","Humans","26363","5000","No","","No","","including other social processes;more data","No"
"2024/11/16 12:45:18 pm CET","Ric","Vu","2023","Journal of Artificial Societies and Social Simulation","26","2","","Yes","Yes","Yes","N/A (This paper should be excluded)","County or Municipality","New York State","Not a spatially explicit model","No","","","","Days","","","","","","","","","","",""
"2024/11/19 10:44:42 am CET","Ric","Holtz","2020","Energies","13","","6133","Yes","Yes","No","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","",""
"2024/11/19 2:04:10 pm CET","Ric","Schreinemachers","2011.","Environmental Modelling and Software","26","","845-859","Yes","Yes","Yes","Yes","Multiple Counties or Region","Chile, Ghana, Thailand, and Vietnam","Raster (cells, pixels, patches)","","34691","","4","Years","Organizations (businesses, NGOs, etc.)","","Organizations","","","Yes","Personal computer (desktop/laptop)","No","","more data","No"
"2024/11/19 2:40:46 pm CET","Ric","Wolf","2015","Technological Forecasting and Social Change","94","","269-285","Yes","Yes","Yes","Yes","City","Berlin, Germany","Mix of Raster and Vector","","","","100","","Humans","675","Humans","675","40","No","","","","more data",""
"2024/11/19 2:54:53 pm CET","Ric","Zhang","2016","Technological Forecasting and Social Change","106","","74-84","Yes","Yes","Yes","Yes","City","UK City of Leeds","","","","","7560","Minutes","Humans","100","Humans","","300","Yes","Personal computer (desktop/laptop)","","","more data",""
"2024/11/19 3:25:36 pm CET","Ric","Chen","2023","Transportation Research Record","2677","2","555–563","Yes","Yes","Yes","Yes","County or Municipality","State of Indiana","","No","","","","","Humans","1","Humans","","157678","No","","No","","","No"
"2024/11/19 9:25:17 pm CET","Alison","Xu","2020","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","County or Municipality","France - 27 cantons","Not a spatially explicit model","N/A","","","","","","","Humans","","100","No","","No","lack of data","including other social processes;more data","No"
"2024/11/19 9:40:07 pm CET","Alison","Ahanchian","2017","Adaptive Behaviour","","","","Yes","Yes","Yes","Yes","City","Metro Manila","Not a spatially explicit model","N/A","","","26","Years","Humans","67100","Humans","67100","234","No","","No","","","No"
"2024/11/19 9:52:36 pm CET","Alison","Lamy","2016","Journal of Artificial Societies and Social Simulation","","","","Yes","I cannot be sure from reading the paper","Yes","Yes","City","Melbourne, Australia","Not a spatially explicit model","N/A","","","","","Humans","","","","","No","","No","lack of data","more complicated decision making algorithms;including other social processes;more data","No"
"2024/11/20 11:07:28 am CET","Ric","Ma","2016","Journal of Artificial Societies and Social Simulation","19","4","5","Yes","Yes","Yes","Yes","City","Kanazawa city, Japan","Raster (cells, pixels, patches)","No","","","","Years","Humans","1098","Humans","177689","900","No","","","","more data","Yes"
"2024/11/20 11:26:44 am CET","Ric","Kaye-Blake","2019","Agricultural Systems","173","","458–468","Yes","Yes","Yes","Yes","County or Municipality","Southland. NewZeland","Raster (cells, pixels, patches)","No","","","","Years","Organizations (businesses, NGOs, etc.)","","Organizations","","","No","","","","","No"
"2024/11/20 11:41:03 am CET","Ric","Naivinit","1990","Transportation Research Record","unknown","","","Yes","Yes","Yes","Yes","Village","Ban Mak Mai village in southern Ubon Ratchathani province","Raster (cells, pixels, patches)","","","","3650","Days","Households","11","Humans","","","No","","","","","No"
"2024/11/20 11:54:17 am CET","Ric","Smajgl","2013","Environmental Modelling and Software","45","","8-14","Yes","Yes","Yes","Yes","County or Municipality","East Kalimantan, Indonesia","Raster (cells, pixels, patches)","","","","2529","Days","Humans;Households","540","Humans","2000000","","No","","","","more fine-grained spatial representation","No"
"2024/11/20 12:06:36 pm CET","Ric","Nsoesie","2012","PLoS ONE","7","10","e45414","Yes","Yes","Yes","Yes","City","New York City USA","Raster (cells, pixels, patches)","","","","","Minutes","Humans","2000000","Humans","2000000","25","No","","","","",""
"2024/11/20 12:14:34 pm CET","Ric","Amineh;","2015","Journal of Artificial Societies and Social Simulation","18","2","2573","Yes","Yes","Yes","N/A (This paper should be excluded)","County or Municipality","Westland, Netherlands.","","","","","","","","","","","","","","","","",""
"2024/11/20 12:34:14 pm CET","Ric","Chang","2023","Journal of Artificial Societies and Social Simulation","26","3","3","Yes","Yes","Yes","Yes","County or Municipality","California. usa","Other","","","","120","","Humans","10000","Humans","","100","No","","","","","No"
"2024/11/20 12:45:46 pm CET","Ric","Rand","2015","Journal of Artificial Societies and Social Simulation","18","2","1","Yes","Yes","Yes","N/A (This paper should be excluded)","","","Other","","","","","","Humans","1231","","","","No","","","","",""
"2024/11/20 1:05:15 pm CET","Ric","Bhavnani","2003","Journal of Artificial Societies and Social Simulation","6","4","1","Yes","Yes","No","N/A (This paper should be excluded)","Nation","Italy","","","","","","","","","","","","","","","","",""
"2025/04/14 5:06:49 pm CET","Gary","Putra","2015","Journal of Artificial Societies and Social Simulation","18","2","18","Yes","Yes","Yes","Yes","Town","Highlands, New Jersey, USA","Raster (cells, pixels, patches)","Yes","2617","","20","Years","Households;Organizations (businesses, NGOs, etc.)","","Humans","5000","10","No","","No","","larger spatial extent;including other social processes;more / other scenarios;validation","No"
"2025/04/14 5:12:29 pm CET","Gary","Gonzalez-Mon","2021","PLoS ONE","16","12","e0261514","Yes","Yes","No","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","","No"
"2025/04/14 5:28:21 pm CET","Gary","Ahanchian","2017","Adaptive Behaviour","","","","Yes","Yes","I cannot be sure from reading the paper","No","City","Metro Manila","Not a spatially explicit model","N/A","","","324","Months","Humans","67100","Humans","","7200","No","","No","","including other social processes;more data;more / other scenarios","No"
