"Timestamp","Username","First author's surname","Year of publication","Which journal is the paper in?","Journal volume identifier","Issue number","Page range or article number","Is this paper about an agent-based model?","Is this paper about a model in the social sciences?","Does the model simulate an empirical, contemporary case study?","Does the paper provide any information about the spatial extent of the model?","What is the spatial extent simulated in the model?","What is the name given by the authors in the paper to the area simulated?","How is space represented in the model?","Does the paper say how many pixels, patches, cells and/or polygons?","Number of pixels, patches or cells","Number of polygons, lines, points or 'features'","How many time steps are in the model?","What sort of time scale do the time steps represent?","Which social entities are represented as agents in the model?","How many agents are simulated in the model?","Units of the number of agents","How many of the above 'units' are there in the real case study?","How many runs of the model do the authors report having done?","Do the authors provide any information about the computing equipment they used?","What computing equipment was used?","Does the paper discuss any practical limitations on their work that might be fixed by access to more computing power?","When describing or discussing the model, which of the following phrases (or similar) were used to suggest pragmatic constraints on the work?","When discussing the model's limitations or any future work, which of the following are mentioned in a way that suggests a superior study would have done them if feasible?","Interesting?"
"2024/08/15 2:37:34 pm CET","Doug","Jubert","2022","Computers, Environment and Urban Systems","94","","101757","Yes","Yes","Yes","Yes","City","Cape Town, South Africa","","","","","","","Humans","16100","Humans","","","Yes","Organization's computing cluster","","","",""
"2024/08/16 9:01:28 am CET","Gary","Noel","2017","Environmental Modelling and Software","92","","1-16","Yes","Yes","Yes","Yes","Catchment of a River Basin","Upper Republican Natural Resources District, Nebraska, USA","Raster (cells, pixels, patches)","Yes","2500","","","","Organizations (businesses, NGOs, etc.)","1040","Organizations","","","No","","No","for the sake of simplicity;lack of data","more complicated decision making algorithms",""
"2024/08/16 9:12:47 am CET","Doug","Zhang","2022","Computers, Environment and Urban Systems","94"," June 2022","101798","Yes","Yes","Yes","Yes","County or Municipality","Region of Waterloo, Ontario, Canada","Paper does not say","No","","","","","Organizations (businesses, NGOs, etc.)","48","Organizations","","1000","No","","Yes","Computational limits of NetLogo","",""
"2024/08/16 9:47:57 am CET","Alison","Srblijnovic","2003","Journal of Artificial Societies and Social Simulation","6","1","","Yes","Yes","Yes","Yes","County or Municipality","Former Yugoslavia","Raster (cells, pixels, patches)","Yes","","","","","Humans","200","Humans","","","Yes","Personal computer (desktop/laptop)","","for the sake of simplicity","including other social processes;Lack of data:  The problem aggravating this issue is the lack of reliable data concerning the dynamics of mobilisation of ethnic groups",""
"2024/08/16 11:02:42 am CET","Gary","Wang","2022","Habitat International","128","","102647","Yes","Yes","Yes","Yes","Town","Shankou Town, Guangxi Zhuang, China (8000 hm^2_","Raster (cells, pixels, patches)","No","4000","","5","Years","Organizations (businesses, NGOs, etc.)","","","","","No","","","","including other social processes;more / other scenarios","No"
"2024/08/16 11:23:04 am CET","Gary","Palmer","2015","Technological Forecasting and Social Change","99","","106-131","Yes","Yes","Yes","No","Nation","Italy","Other","N/A","","","21","Years","Households","666666","Households","10000000","","No","","Yes","to save computing time;to save memory;lack of data","more data","Maybe"
"2024/08/16 11:39:39 am CET","Gary","Sun","2019","Technological Forecasting and Social Change","140","","281-295","Yes","Yes","Yes","No","Nation","United States","Not a spatially explicit model","N/A","","","40","Years","Humans;Organizations (businesses, NGOs, etc.)","10000000","Humans","10000000","300","No","","No","lack of data","","No"
"2024/08/16 11:53:25 am CET","Gary","Loibl","2003","Environmental Modelling and Software","18","","553-563","Yes","Yes","Yes","Yes","County or Municipality","Greater Vienna Region, Austria","Raster (cells, pixels, patches)","No","","","","","Households;Organizations (businesses, NGOs, etc.)","","","","","No","","No","","","No"
"2024/08/16 12:05:25 pm CET","Gary","Mintram","2022","PLoS ONE","17","8","e0272664","Yes","Yes","Yes","No","Nation","England","Not a spatially explicit model","N/A","","","29220","Days","Humans","1000","Humans","","100","No","","No","","more environmental dynamics;including other social processes","Maybe"
"2024/08/16 1:22:39 pm CET","Alison","Castella","2005","Agricultural Systems","86","","312-332","Yes","Yes","Yes","Yes","County or Municipality","Villages within the area of Bec Kan (Northern Vietnam)","Raster (cells, pixels, patches)","Yes","2500","","8","Years","Humans;Households","246","Humans","","","No","","","for the sake of simplicity","",""
"2024/08/16 1:35:15 pm CET","Alison","Saqalli","2011","Agricultural Systems","104","4","354-364","Yes","Yes","Yes","Yes","Village","Three areas: Zero, Gabi and Fakara (Niger)","Raster (cells, pixels, patches)","No","","","3120 ","Weeks","Humans","50","Humans","","30","No","","Yes","","including other social processes","No"
"2024/08/16 1:53:16 pm CET","Ric","Le","2012","Environmental Modelling and Software","27-28","","83-96","Yes","Yes","Yes","Yes","Catchment of a River Basin","Hong Ha watershed (Vietnam).","Paper does not say","","","","","Years","Organizations (businesses, NGOs, etc.)","","","","","No","","No","","","No"
"2024/08/16 1:57:08 pm CET","Ric","Gorecki,","2023","Smart Innovation, Systems and Technologies","345","","87-98","Yes","Yes","No","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","",""
"2024/08/16 2:02:31 pm CET","Alison","Feitosa","2011","Computers, Environment and Urban Systems","35","2","104-115","Yes","Yes","Yes","Yes","City","São José dos Campos (Brazil)","","","","","9","Years","Humans;Households","106591","Humans","609229","5","No","","","","including new classes of agent;more data","No"
"2024/08/16 2:04:48 pm CET","Ric","Gaube","2013","Environmental Modelling and Software","45","","92-103","Yes","Yes","Yes","Yes","City","Vienna","Raster (cells, pixels, patches)","No","","","50","Years","Households","770000","Households","1700000","","No","","No","","","No"
"2024/08/16 2:13:44 pm CET","Ric","Abreu","2018","Environmental Modelling and Software","","18","","Yes","Yes","Yes","Yes","County or Municipality","Cerrado Federal District of Brazil","Raster (cells, pixels, patches)","No","","","","Years","Organizations (businesses, NGOs, etc.)","","","","138800","No","","No","","","No"
"2024/08/16 2:17:33 pm CET","Alison","Basak","2017","Computers, Environment and Urban Systems","64","","118-131","Yes","Yes","Yes","Yes","Housing Estate","Area around a temple -Grand Road (Puri, India)","Vector (polygons, lines, points)","","5973","","","Seconds","Humans","8592","Humans","","80","No","","No","lack of data","","Maybe"
"2024/08/16 2:24:50 pm CET","Ric","Dai","2020","Environmental Modelling and Software","127","","","Yes","Yes","Yes","Yes","City","Lishui, China","Raster (cells, pixels, patches)","No","293","","36","Minutes","Humans","71673","Humans","","24","No","","No","","","No"
"2024/08/16 2:26:59 pm CET","Alison","Ardestani","2018","Computers, Environment and Urban Systems","69","","1 - 16","Yes","Yes","Yes","Yes","City","Auckland","","","","","30","Years","Humans","847113","Humans","847113","","","","","lack of data","more data","Yes"
"2024/08/16 2:47:35 pm CET","Alison","Gorecki","2023","Smart Innovation, Systems and Technologies","354","","","Yes","Yes","Yes","Yes","City","Bordeaux Urban Area","Paper does not say","","","","","","Humans","","Humans","1000000","","","","No","","","No"
"2024/08/16 3:01:18 pm CET","Alison","Ishino","2019","Smart Innovation, Systems and Technologies","","","331 - 340","Yes","Yes","Yes","Yes","Nation","Japan","Not a spatially explicit model","","","","","","Humans","1050","Humans","","","","","No","for the sake of simplicity","","No"
"2024/08/16 4:55:37 pm CET","Alison","Alisoltani","2010","Smart Innovation, Systems and Technologies","186","","","Yes","Yes","Yes","Yes","City","Lyon (France)","Vector (polygons, lines, points)","Yes","6400","","14400","Seconds","Humans","","Humans","","","No","","No","","","Maybe"
"2024/08/18 10:13:24 am CET","Doug","Kajiwara","2022","Computers, Environment and Urban Systems","98","","101873","No","Yes","Yes","Yes","Nation","Japan","Paper does not say","No","","","","","Households","","","","","No","","No","","","No"
"2024/08/18 2:00:31 pm CET","Doug","Caprioli","2023","Computers, Environment and Urban Systems","102","","101955","Yes","Yes","Yes","Yes","County or Municipality","Brisbane Inner, Brisbane Inner North, Brisbane Inner East, Brisbane Inner South and Brisbane Inner West","Paper does not say","No","","","20","Years","Households","4063","Households","4063","","No","","Maybe","","No correct procedure for validating an ABM","No"
"2024/08/19 12:40:25 pm CET","Doug","Zhang ","2001","Environmental Modelling and Software","26","4","482-491","Yes","Yes","Yes","Yes","Multiple Counties or Region","Jiangzhu Province","Paper does not say","No","","","","","Organizations (businesses, NGOs, etc.)","45","Organizations","45","","No","","No","","","No"
"2024/08/19 1:52:29 pm CET","Doug","Schreinemachers","2011","Environmental Modelling and Software","26","7","845-859","Yes","Yes","","Yes","More than one Nation, but not a whole Continent","Chile, Germany, Ghana, Thailand, Uganda, Vietnam","Raster (cells, pixels, patches)","Yes","530000","","6","Years","Households","530000","Households","","","Yes","Personal computer (desktop/laptop)","No","","","No"
"2024/08/19 2:03:14 pm CET","Ric","Bao","2020","Habitat International","95","","102096","Yes","Yes","Yes","No","Village","None is an Archetype Chinese village","Raster (cells, pixels, patches)","No","","","1500","Hours","Humans","330","Humans","","6","No","","No","","","No"
